model,concept_categorization,relatedness,analogy,informal_categorization
wiki.ca,0.740964,0.627661,0.280500,0.441905
ft_skipg_d100,0.819277,0.618196,0.553881,0.554286
ft_cbow_d300,0.704819,0.473276,0.402010,0.607619
ours_all_300,0.825301,0.633764,0.634911,0.533333
ft_cbow_d50,0.616867,0.463689,0.271845,0.600000
floret_embeddings_ca,0.663855,0.504283,0.419249,0.492308
ours_racoforumsanon_300,0.593976,0.614400,0.205193,0.530476
ft_skipg_d50,0.801205,0.591404,0.397473,0.543810
ours_news_300,0.745783,0.589372,0.475851,0.468571
ft_skipg_d300,0.822892,0.629386,0.606714,0.543810
cc.ca.300,0.768675,0.642193,0.579146,0.538095
ours_wikipedia_300,0.759036,0.637494,0.617741,0.449524
ft_cbow_d100,0.650602,0.471733,0.353853,0.600000
